msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel,transaction_count,city,bd,gender,registered_via,registration_init_time,num_25Sum,num_50Sum,num_75Sum,num_985Sum,num_100Sum,num_unqSum,total_secsSum,num_25Mean,num_50Mean,num_75Mean,num_985Mean,num_100Mean,num_unqMean,total_secsMean,count,is_churn,price_per_day,days_fidelity
rqYC3j0EPtCi,41,30,99,99,1,2017-03-22,2017-04-23,0,1,1,-1,inconnu,7,2011-04-28,4.0,1.0,0.0,2.0,273.0,241.0,68834.707,0.6666666666666666,0.16666666666666666,0.0,0.3333333333333333,45.5,40.16666666666666,11472.451166666666,6,0,3.3,2187
KxxF7ObF9AT3,40,30,149,149,1,2017-03-01,2017-04-03,0,1,5,26,male,9,2017-01-31,64.0,20.0,5.0,3.0,43.0,110.0,13660.681999999999,9.142857142857142,2.8571428571428568,0.7142857142857143,0.42857142857142855,6.142857142857142,15.714285714285715,1951.526,7,1,4.966666666666667,62
3oIj21g/cnqx,40,30,149,149,1,2017-03-12,2017-04-13,0,1,13,32,male,9,2009-10-28,7.0,1.0,0.0,1.0,139.0,147.0,32965.171,1.0,0.14285714285714285,0.0,0.14285714285714285,19.857142857142858,21.0,4709.3101428571445,7,0,4.966666666666667,2724
LOoIdBVNGraL,41,30,99,99,1,2017-03-21,2017-04-21,0,1,1,-1,inconnu,7,2016-05-21,232.0,81.0,56.0,79.0,1662.0,1176.0,414148.0020000001,8.0,2.7931034482758617,1.9310344827586208,2.7241379310344827,57.31034482758621,40.55172413793103,14280.9655862069,29,0,3.3,335
rYGoWZYMYkIv,41,30,99,99,1,2017-03-07,2017-04-07,0,1,1,-1,inconnu,7,2015-11-07,36.0,12.0,6.0,8.0,52.0,84.0,18351.078999999998,7.2,2.4,1.2,1.6,10.4,16.8,3670.2158,5,0,3.3,517
k31BNgSbV0Ef,41,30,99,99,1,2017-03-31,2017-04-30,0,1,1,-1,inconnu,7,2016-01-30,204.0,65.0,46.0,57.0,1977.0,1444.0,494293.893,6.580645161290323,2.096774193548387,1.4838709677419355,1.8387096774193548,63.774193548387096,46.58064516129032,15944.964290322581,31,0,3.3,456
78qVWExr5ZjS,37,30,149,149,1,2017-03-01,2017-03-31,0,1,15,27,male,9,2005-10-22,12.0,3.0,6.0,3.0,33.0,41.0,11564.091999999999,1.7142857142857142,0.42857142857142855,0.8571428571428571,0.42857142857142855,4.714285714285714,5.857142857142858,1652.0131428571426,7,0,4.966666666666667,4178
p4C/1qnlrJxH,41,30,129,129,1,2017-03-10,2017-04-13,0,2,1,-1,inconnu,7,2012-08-20,538.0,113.0,79.0,97.0,2165.0,2144.0,564431.5109999999,17.35483870967742,3.645161290322581,2.548387096774193,3.129032258064516,69.83870967741936,69.16129032258064,18207.468096774188,31,0,4.3,1697
tPP+LaKYVrDp,41,30,99,99,1,2017-03-25,2017-04-25,0,1,1,-1,inconnu,7,2012-02-24,78.0,56.0,18.0,13.0,709.0,868.0,183492.17800000004,2.6,1.8666666666666667,0.6,0.43333333333333335,23.63333333333333,28.93333333333333,6116.4059333333325,30,0,3.3,1887
rU30aFTkuzYQ,41,30,99,99,1,2017-03-08,2017-04-08,0,1,1,-1,inconnu,7,2015-10-09,69.0,67.0,51.0,25.0,555.0,602.0,138821.304,2.4642857142857144,2.392857142857143,1.8214285714285716,0.8928571428571429,19.821428571428573,21.5,4957.903714285714,28,0,3.3,547
DS8TPNSHR40o,41,30,149,149,1,2017-03-15,2017-04-15,0,1,1,-1,inconnu,7,2014-07-10,74.0,14.0,21.0,14.0,581.0,524.0,141933.633,3.363636363636364,0.6363636363636364,0.9545454545454546,0.6363636363636364,26.40909090909091,23.818181818181817,6451.528772727273,22,0,4.966666666666667,1010
agyKSfOTtQKt,36,30,180,180,1,2017-03-25,2017-04-26,0,1,1,-1,inconnu,4,2016-08-24,11.0,1.0,0.0,1.0,96.0,75.0,25760.257999999998,1.5714285714285714,0.14285714285714285,0.0,0.14285714285714285,13.714285714285715,10.714285714285714,3680.0368571428576,7,0,6.0,245
U+kL4KR8qcBh,37,30,149,149,1,2017-03-01,2017-03-31,0,1,15,40,male,9,2009-12-09,34.0,7.0,5.0,6.0,133.0,103.0,34170.156,4.857142857142857,1.0,0.7142857142857143,0.8571428571428571,19.0,14.714285714285715,4881.450857142859,7,0,4.966666666666667,2669
2uIzaNLhMwpm,37,30,149,149,1,2017-03-12,2017-04-11,0,1,15,-1,inconnu,3,2013-02-03,158.0,36.0,16.0,29.0,353.0,448.0,103421.165,6.32,1.44,0.64,1.16,14.12,17.92,4136.846600000002,25,0,4.966666666666667,1528
