msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel,transaction_count,city,bd,gender,registered_via,registration_init_time,num_25Sum,num_50Sum,num_75Sum,num_985Sum,num_100Sum,num_unqSum,total_secsSum,num_25Mean,num_50Mean,num_75Mean,num_985Mean,num_100Mean,num_unqMean,total_secsMean,count,is_churn,price_per_day,days_fidelity
30kk13NYoQXQ,38,30,149,149,0,2017-03-16,2017-04-15,0,1,15,20,female,3,2016-10-09,391.0,50.0,26.0,22.0,795.0,1020.0,208558.569,13.033333333333333,1.6666666666666667,0.8666666666666667,0.7333333333333333,26.5,34.0,6951.9523,30,0,4.966666666666667,188
iHqRi4MbIXhQ,40,30,149,149,1,2017-03-01,2017-04-06,0,1,8,29,female,9,2014-10-30,65.0,22.0,18.0,18.0,1989.0,1615.0,453367.6489999999,2.1666666666666665,0.7333333333333333,0.6,0.6,66.3,53.83333333333334,15112.254966666662,30,0,4.966666666666667,889
C/FnVbZD9asJ,41,30,99,99,1,2017-03-31,2017-04-30,0,1,1,-1,inconnu,7,2014-01-15,58.0,2.0,3.0,2.0,419.0,405.0,94479.035,2.32,0.08,0.12,0.08,16.76,16.2,3779.1614,25,0,3.3,1201
EcwQWtW13lmM,41,30,129,129,1,2017-03-03,2017-04-03,0,1,5,-1,inconnu,7,2011-04-04,23.0,19.0,12.0,10.0,694.0,734.0,173807.063,0.8518518518518519,0.7037037037037037,0.4444444444444444,0.3703703703703704,25.703703703703702,27.18518518518519,6437.2986296296285,27,0,4.3,2191
hZNMQN+X8lLF,41,30,99,99,1,2017-03-19,2017-04-19,0,1,1,-1,inconnu,7,2015-12-20,40.0,11.0,8.0,6.0,564.0,509.0,137668.714,1.6,0.44,0.32,0.24,22.56,20.36,5506.74856,25,0,3.3,486
eIYi/GZZYkiz,41,30,99,99,1,2017-03-31,2017-04-30,0,1,1,-1,inconnu,7,2014-03-02,59.0,17.0,10.0,10.0,635.0,547.0,151295.299,3.4705882352941178,1.0,0.5882352941176471,0.5882352941176471,37.352941176470594,32.176470588235304,8899.723470588235,17,0,3.3,1155
p0tJrIIPVYcE,37,30,149,149,1,2017-03-16,2017-04-18,0,1,10,27,male,9,2010-05-10,58.0,17.0,19.0,15.0,209.0,293.0,62740.88299999999,2.230769230769231,0.6538461538461539,0.7307692307692307,0.5769230769230769,8.038461538461537,11.269230769230768,2413.110884615385,26,0,4.966666666666667,2535
1KrFQVbE/Sm1,39,30,149,149,1,2017-03-31,2017-05-04,0,2,15,22,male,9,2009-12-30,131.0,30.0,32.0,47.0,1094.0,1116.0,296518.949,6.238095238095237,1.4285714285714286,1.5238095238095235,2.238095238095238,52.0952380952381,53.14285714285714,14119.94995238095,21,0,4.966666666666667,2682
g5lDDU12SkQ7,37,30,149,149,1,2017-03-24,2017-04-24,0,1,22,32,female,9,2007-09-04,82.0,26.0,30.0,32.0,894.0,781.0,239033.272,3.037037037037037,0.9629629629629628,1.1111111111111112,1.1851851851851851,33.111111111111114,28.92592592592593,8853.084148148148,27,0,4.966666666666667,3520
WCRSl1mlvbuE,32,360,1200,1200,0,2017-03-30,2018-04-03,0,5,4,22,inconnu,3,2013-06-25,8.0,8.0,1.0,4.0,134.0,146.0,33740.675,0.6666666666666666,0.6666666666666666,0.08333333333333333,0.3333333333333333,11.166666666666664,12.166666666666664,2811.722916666667,12,0,3.333333333333333,1743
