msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel,transaction_count,city,bd,gender,registered_via,registration_init_time,num_25Sum,num_50Sum,num_75Sum,num_985Sum,num_100Sum,num_unqSum,total_secsSum,num_25Mean,num_50Mean,num_75Mean,num_985Mean,num_100Mean,num_unqMean,total_secsMean,count,is_churn,price_per_day,days_fidelity
2ENjCIHdGg/C,40,30,149,149,1,2017-03-01,2017-03-31,0,1,4,24,female,3,2016-10-24,35.0,2.0,2.0,11.0,371.0,179.0,91716.234,2.333333333333333,0.13333333333333333,0.13333333333333333,0.7333333333333333,24.73333333333333,11.933333333333335,6114.415600000001,15,0,4.966666666666667,158
5O7quVRpBH6U,41,30,149,149,1,2017-03-09,2017-04-09,0,1,1,-1,inconnu,7,2013-10-10,6.0,5.0,4.0,2.0,259.0,243.0,65590.12199999999,0.2307692307692308,0.19230769230769232,0.15384615384615385,0.07692307692307693,9.961538461538463,9.346153846153848,2522.697,26,0,4.966666666666667,1277
euDCcFD8vGNS,41,30,99,99,1,2017-03-11,2017-04-12,0,1,15,34,female,7,2012-01-19,25.0,18.0,7.0,3.0,202.0,221.0,57042.39399999999,2.272727272727273,1.6363636363636365,0.6363636363636364,0.2727272727272727,18.363636363636363,20.09090909090909,5185.6721818181795,11,1,3.3,1910
NsPq8XemZaHP,29,30,180,180,0,2017-03-28,2017-04-27,0,1,5,29,female,4,2016-10-11,26.0,7.0,6.0,12.0,43.0,47.0,16505.602,8.666666666666666,2.333333333333333,2.0,4.0,14.333333333333336,15.666666666666664,5501.867333333333,3,0,6.0,198
i6d1QL3w8qlK,33,30,149,149,1,2017-03-31,2017-04-30,0,1,13,30,female,9,2007-04-30,5.0,2.0,0.0,0.0,381.0,360.0,95247.233,0.7142857142857143,0.2857142857142857,0.0,0.0,54.42857142857143,51.42857142857143,13606.747571428572,7,0,4.966666666666667,3653
r58uc28pJUMN,40,30,149,149,1,2017-03-21,2017-04-20,0,1,12,30,male,3,2015-03-12,143.0,34.0,28.0,37.0,1320.0,828.0,349700.325,4.612903225806452,1.0967741935483872,0.9032258064516128,1.1935483870967742,42.58064516129032,26.70967741935484,11280.655645161292,31,0,4.966666666666667,770
SDMpl6XBiJwU,41,30,129,129,1,2017-03-26,2017-04-26,0,1,1,-1,inconnu,7,2014-06-30,355.0,89.0,63.0,103.0,1484.0,1317.0,370426.11799999996,11.451612903225806,2.870967741935484,2.032258064516129,3.3225806451612905,47.87096774193547,42.483870967741936,11949.229612903226,31,0,4.3,1031
/tBGtASLu5tm,40,30,149,149,1,2017-03-22,2017-04-21,0,1,11,31,male,3,2012-11-12,18.0,9.0,12.0,7.0,1666.0,1598.0,394810.81,0.72,0.36,0.48,0.28,66.64,63.92,15792.432399999998,25,0,4.966666666666667,1621
FtXqmjK2Xvdf,41,30,149,149,1,2017-03-09,2017-04-13,0,1,1,-1,inconnu,7,2011-12-04,445.0,34.0,28.0,23.0,784.0,1184.0,195547.139,15.892857142857142,1.2142857142857142,1.0,0.8214285714285714,28.0,42.285714285714285,6983.826392857142,28,0,4.966666666666667,1957
3a+12bBTIy0c,41,30,119,119,1,2015-11-30,2018-10-24,0,20,1,-1,inconnu,7,2013-11-25,40.0,8.0,11.0,10.0,841.0,392.0,192877.64399999997,1.6,0.32,0.44,0.4,33.64,15.68,7715.105759999998,25,0,3.966666666666667,1794
YYH+6pcRKxxU,36,30,180,180,1,2017-03-28,2017-03-26,1,1,1,-1,inconnu,7,2013-06-26,82.0,9.0,11.0,8.0,186.0,289.0,49845.974,5.125,0.5625,0.6875,0.5,11.625,18.0625,3115.373375,16,1,6.0,1369
IWA/hkiGSUJr,41,30,99,99,1,2017-03-21,2017-04-21,0,1,1,-1,inconnu,7,2016-12-22,110.0,32.0,35.0,48.0,966.0,751.0,276928.336,4.782608695652174,1.391304347826087,1.5217391304347827,2.0869565217391304,42.0,32.65217391304348,12040.36243478261,23,0,3.3,120
ZNKBwEz9gtE9,41,30,149,149,1,2017-03-04,2017-04-04,0,1,1,-1,inconnu,7,2016-09-23,334.0,40.0,26.0,27.0,498.0,606.0,154906.47199999998,11.517241379310345,1.3793103448275863,0.8965517241379308,0.9310344827586208,17.17241379310345,20.896551724137925,5341.602482758622,29,0,4.966666666666667,193
